"Industrial Producing Groupings of Waste","Kod","Benämning"
,"A","Företag inom jordbruk, skogsbruk och fiske"
21,"46.49","Partihandel med andra hushållsvaror"
21,"46.491","Partihandel med sport- och fritidsartiklar"
21,"46.492","Partihandel med kontorsförbrukningsvaror"
21,"46.499","Partihandel med övriga hushållsvaror"
21,"46.5","Partihandel med informations- och kommunikationsutrustning"
21,"46.51","Partihandel med datorer och kringutrustning samt programvara"
21,"46.510","Partihandel med datorer och kringutrustning samt programvara"
21,"46.52","Partihandel med elektronik- och telekommunikationsutrustning"
21,"46.521","Partihandel med elektronikkomponenter"
21,"46.522","Partihandel med teleprodukter"
21,"46.6","Partihandel med övriga maskiner och övrig utrustning"
21,"46.61","Partihandel med jordbruksmaskiner och -utrustning"
21,"46.610","Partihandel med jordbruksmaskiner och -utrustning"
21,"46.62","Partihandel med verktygsmaskiner"
21,"46.620","Partihandel med verktygsmaskiner"
21,"46.63","Partihandel med gruv-, bygg- och anläggningsmaskiner"
21,"46.630","Partihandel med gruv-, bygg- och anläggningsmaskiner"
21,"46.64","Partihandel med textil-, sy- och stickmaskiner"
21,"46.640","Partihandel med textil-, sy- och stickmaskiner"
21,"46.65","Partihandel med kontorsmöbler"
21,"46.650","Partihandel med kontorsmöbler"
21,"46.66","Partihandel med andra kontorsmaskiner och kontorsutrustning"
21,"46.660","Partihandel med andra kontorsmaskiner och kontorsutrustning"
21,"46.69","Partihandel med andra maskiner och annan utrustning"
21,"46.691","Partihandel med mät- och precisionsinstrument"
21,"46.692","Partihandel med datoriserad materialhanteringsutrustning"
21,"46.699","Partihandel med diverse övriga maskiner och utrustning"
21,"46.7","Annan specialiserad partihandel"
21,"46.71","Partihandel med bränslen"
21,"46.710","Partihandel med bränslen"
21,"46.72","Partihandel med metaller och metallmalmer"
21,"46.720","Partihandel med metaller och metallmalmer"
21,"46.73","Partihandel med virke, andra byggmaterial och sanitetsgods"
21,"46.731","Partihandel med virke och andra byggmaterial"
21,"46.732","Partihandel med sanitetsgods"
21,"46.74","Partihandel med järnhandelsvaror och VVS-armatur"
21,"46.741","Partihandel med järnhandelsvaror"
21,"46.742","Partihandel med VVS-varor"
21,"46.75","Partihandel med kemiska produkter"
21,"46.750","Partihandel med kemiska produkter"
21,"46.76","Partihandel med andra insatsvaror"
21,"46.761","Partihandel med industriförnödenheter"
21,"46.762","Partihandel med emballage"
21,"46.769","Partihandel med övriga insatsvaror"
22,"46.77","Partihandel med avfallsprodukter och skrot"
22,"46.771","Partihandel med uttjänta fordon"
22,"46.772","Partihandel med metallavfall och metallskrot"
22,"46.773","Partihandel med avfall och skrot av icke-metall"
21,"46.9","Övrig partihandel"
21,"46.90","Övrig partihandel"
21,"46.900","Övrig partihandel"
21,"47","Detaljhandel utom med motorfordon och motorcyklar"
21,"47.1","Butiker, varuhus och stormarknader med brett sortiment"
21,"47.11","Butiker, varuhus och stormarknader med brett sortiment, mest livsmedel, drycker och tobak"
21,"47.111","Varuhus och stormarknader med brett sortiment, mest livsmedel, drycker och tobak"
21,"47.112","Livsmedelsbutiker med brett sortiment"
21,"47.19","Andra butiker, varuhus och stormarknader med brett sortiment"
21,"47.191","Andra varuhus och stormarknader"
21,"47.199","Övriga butiker med brett sortiment"
21,"47.2","Specialiserade livsmedelsbutiker samt systembutiker och tobaksaffärer"
21,"47.21","Frukt- och grönsaksaffärer"
21,"47.210","Frukt- och grönsaksaffärer"
21,"47.22","Kött- och charkuteriaffärer"
21,"47.220","Kött- och charkuteriaffärer"
21,"47.23","Fiskaffärer"
21,"47.230","Fiskaffärer"
21,"47.24","Bröd- och konfektyrbutiker"
21,"47.241","Brödbutiker"
21,"47.242","Konfektyrbutiker"
21,"47.25","Systembutiker"
21,"47.250","Systembutiker"
21,"47.26","Tobaksaffärer"
21,"47.260","Tobaksaffärer"
21,"47.29","Andra specialbutiker med livsmedel"
21,"47.291","Hälsokostbutiker"
21,"47.299","Övriga specialbutiker med livsmedel"
21,"47.3","Bensinstationer"
21,"47.30","Bensinstationer"
21,"47.300","Bensinstationer"
21,"47.4","Butiker för informations- och kommunikationsutrustning"
21,"47.41","Datorbutiker; data- och tv-spelsbutiker"
21,"47.410","Datorbutiker; data- och tv-spelsbutiker"
21,"47.42","Telebutiker"
21,"47.420","Telebutiker"
21,"47.43","Radio- och TV-affärer"
21,"47.430","Radio- och TV-affärer"
21,"47.5","Butiker för heminredningsartiklar och husgeråd"
21,"47.51","Garn-, tyg- och sybehörsaffärer"
21,"47.510","Garn-, tyg- och sybehörsaffärer"
21,"47.52","Butiker för bygg-, järn- och VVS-varor samt färger och glas"
21,"47.521","Byggvaruhandel"
21,"47.522","Järn- och VVS-varuhandel"
21,"47.523","Färghandel"
21,"47.53","Specialiserade butiker för mattor och inredningstextilier"
21,"47.531","Tapet-, matt- och golvbeläggningshandel"
21,"47.532","Hemtextilbutiker"
21,"47.54","Butiker för vitvaror och andra elektriska hushållsmaskiner och -apparater"
21,"47.540","Butiker för vitvaror och andra elektriska hushållsmaskiner och -apparater"
21,"47.59","Butiker för möbler, belysnings- och heminredningsartiklar"
21,"47.591","Möbelaffärer"
21,"47.592","Kontorsmöbelhandel "
21,"47.593","Bosättningsaffärer"
21,"47.594","Butiker för belysningsartiklar"
21,"47.595","Musikhandel"
21,"47.6","Butiker för kultur- och fritidsartiklar"
21,"47.61","Bokhandel"
21,"47.610","Bokhandel"
21,"47.62","Tidnings- och pappershandel"
21,"47.621","Tidningshandel"
21,"47.622","Pappershandel"
21,"47.63","Skiv- och videobutiker"
21,"47.630","Skiv- och videobutiker"
21,"47.64","Sportaffärer"
21,"47.641","Sportaffärer"
21,"47.642","Cykelaffärer"
21,"47.643","Båt- och båttillbehörshandel"
21,"47.65","Leksaksaffärer"
21,"47.650","Leksaksaffärer"
21,"47.7","Butiker för övriga hushållsvaror"
21,"47.71","Klädesaffärer"
21,"47.711","Affärer för herr-, dam- och barnkläder, blandat"
21,"47.712","Herrklädesaffärer"
21,"47.713","Damklädesaffärer"
21,"47.714","Barnklädesaffärer"
21,"47.715","Pälsaffärer"
21,"47.72","Sko- och väskaffärer"
21,"47.721","Skoaffärer"
21,"47.722","Väskaffärer"
21,"47.73","Apotek"
21,"47.730","Apotek"
21,"47.74","Sjukvårdsbutiker"
21,"47.740","Sjukvårdsbutiker"
21,"47.75","Parfymaffärer"
21,"47.750","Parfymaffärer"
21,"47.76","Blomster- och trädgårdsvaruhandel; zooaffärer"
21,"47.761","Blomster- och trädgårdsvaruhandel"
21,"47.762","Zooaffärer"
21,"47.77","Uraffärer och guldsmedsaffärer"
21,"47.771","Uraffärer"
21,"47.772","Guldsmedsaffärer"
21,"47.78","Butikshandel med andra nya varor"
21,"47.781","Optiker"
21,"47.782","Fotoaffärer"
21,"47.783","Konsthandel och gallerier"
21,"47.784","Mynt- och frimärksaffärer"
21,"47.789","Butiker med övrigt specialsortiment"
21,"47.79","Antikvitetsaffärer och second hand-butiker m.m."
21,"47.791","Antikvitetsaffärer och antikvariat"
21,"47.792","Second hand-butiker m.m."
21,"47.793","Auktioner i butik"
21,"47.8","Torg- och marknadshandel"
21,"47.81","Torg- och marknadshandel med livsmedel, drycker och tobak"
21,"47.810","Torg- och marknadshandel med livsmedel, drycker och tobak"
21,"47.82","Torg- och marknadshandel med textilier, kläder och skodon"
21,"47.820","Torg- och marknadshandel med textilier, kläder och skodon"
21,"47.89","Torg- och marknadshandel med övriga varor"
21,"47.890","Torg- och marknadshandel med övriga varor"
21,"47.9","Detaljhandel ej i butik, på torg eller marknad"
21,"47.91","Postorderhandel och detaljhandel på Internet"
21,"47.911","Postorderhandel och detaljhandel på Internet med brett sortiment"
21,"47.912","Postorderhandel och detaljhandel på Internet med beklädnadsvaror"
21,"47.913","Postorderhandel och detaljhandel på Internet med böcker och andra mediavaror"
21,"47.914","Postorderhandel och detaljhandel på Internet med datorer och annan elektronisk utrustning"
21,"47.915","Postorderhandel och detaljhandel på Internet med sport- och fritidsutrustning"
21,"47.916","Postorderhandel och detaljhandel på Internet med bosättningsvaror"
21,"47.917","Auktioner på Internet"
21,"47.919","Postorderhandel och detaljhandel på Internet med övriga varor"
21,"47.99","Övrig detaljhandel ej i butik, på torg eller marknad"
21,"47.991","Provisionsdetaljhandel (ej auktioner)"
21,"47.992","Ambulerande och tillfällig handel med livsmedel"
21,"47.993","Ambulerande och tillfällig handel med övriga varor"
21,"47.994","Auktioner ej i butik eller på Internet"
21,"47.999","Övrig detaljhandel ej i butik"
21,"H","Transport- och magasineringsföretag"
21,"49","Landtransportföretag; rörtransportföretag"
21,"49.1","Järnvägsbolag, passagerartrafik"
21,"49.10","Järnvägsbolag, passagerartrafik"
21,"49.100","Järnvägsbolag, passagerartrafik"
21,"49.2","Järnvägsbolag, godstrafik"
21,"49.20","Järnvägsbolag, godstrafik"
21,"49.200","Järnvägsbolag, godstrafik"
21,"49.3","Kollektivtrafik- och linjebussföretag"
21,"49.31","Kollektivtrafikföretag"
21,"49.311","Linjebussföretag"
21,"49.319","Övriga kollektivtrafikföretag"
21,"49.32","Taxiföretag"
21,"49.320","Taxiföretag"
21,"49.39","Charterbussföretag, bussföretag för fjärrtrafik"
21,"49.390","Charterbussföretag, bussföretag för fjärrtrafik"
21,"49.4 ","Åkerier och flyttfirmor"
21,"49.41","Åkerier"
21,"49.410","Åkerier"
21,"49.42","Flyttfirmor"
21,"49.420","Flyttfirmor"
21,"49.5 ","Rörtransportföretag"
21,"49.50","Rörtransportföretag"
21,"49.500","Rörtransportföretag"
21,"50","Rederier"
21,"50.1","Havs- och kustsjöfartsrederier, passagerartrafik"
21,"50.10","Havs- och kustsjöfartsrederier, passagerartrafik"
21,"50.101","Havs- och kustsjöfartsrederier, reguljär passagerartrafik"
21,"50.102","Havs- och kustsjöfartsrederier, icke reguljär passagerartrafik"
21,"50.2","Havs- och kustsjöfartsrederier, godstrafik"
21,"50.20","Havs- och kustsjöfartsrederier, godstrafik"
21,"50.201","Havs- och kustsjöfartsrederier, reguljär godstrafik"
21,"50.202","Havs- och kustsjöfartsrederier, icke reguljär godstrafik"
21,"50.3","Rederier för sjöfart på inre vattenvägar, passagerartrafik"
21,"50.30","Rederier för sjöfart på inre vattenvägar, passagerartrafik"
21,"50.301","Rederier för sjöfart på inre vattenvägar, reguljär passagerartrafik"
21,"50.302","Rederier för sjöfart på inre vattenvägar, icke reguljär passagerartrafik"
21,"50.4","Rederier för sjöfart på inre vattenvägar, godstrafik"
21,"50.40","Rederier för sjöfart på inre vattenvägar, godstrafik"
21,"50.401","Rederier för sjöfart på inre vattenvägar, reguljär godstrafik"
21,"50.402","Rederier för sjöfart på inre vattenvägar, icke reguljär godstrafik"
21,"51","Flygbolag"
21,"51.1","Flygbolag, passagerartrafik"
21,"51.10","Flygbolag, passagerartrafik"
21,"51.101","Flygbolag, reguljär passagerartrafik"
21,"51.102","Charter- och taxiflygbolag"
21,"51.2","Flygbolag, godstrafik och rymdfartsbolag"
21,"51.21","Flygbolag, godstrafik"
21,"51.211","Flygbolag, reguljär godstrafik"
21,"51.212","Flygbolag, icke reguljär godstrafik"
21,"51.22","Rymdfartsbolag"
21,"51.220","Rymdfartsbolag"
21,"52","Magasin och serviceföretag till transport"
21,"52.1","Centrallager och magasin"
21,"52.10","Centrallager och magasin"
21,"52.100","Centrallager och magasin"
21,"52.2","Serviceföretag till transport"
21,"52.21","Serviceföretag till landtransport"
21,"52.211","Bärgningsföretag för landtransport"
21,"52.219","Övriga serviceföretag till landtransport"
21,"52.22","Hamnföretag och andra serviceföretag till sjötransport"
21,"52.220","Hamnföretag och andra serviceföretag till sjötransport"
21,"52.23","Flygplatser och andra serviceföretag till lufttransport"
21,"52.230","Flygplatser och andra serviceföretag till lufttransport"
21,"52.24","Godsterminaler"
21,"52.241","Hamngodsterminaler"
21,"52.249","Övriga godsterminaler"
21,"52.29","Övriga serviceföretag till transport"
21,"52.290","Övriga serviceföretag till transport"
21,"53","Post- och kurirföretag"
21,"53.1","Nationella posten"
21,"53.10","Nationella posten"
21,"53.100","Nationella posten"
21,"53.2","Budbils-, kurir- och andra postföretag"
21,"53.20","Budbils-, kurir- och andra postföretag"
21,"53.201","Andra postföretag"
21,"53.202","Budbils- och kurirföretag"
21,"53.203","Tidningsdistributionsföretag"
21,"I","Hotell och restauranger"
21,"55","Hotell, semesterbostäder, vandrarhem, campingplatser m.m."
21,"55.1","Hotell"
21,"55.10","Hotell"
21,"55.101","Hotell med restaurang "
21,"55.102","Konferensanläggningar"
21,"55.103","Hotell utan restaurang"
21,"55.2","Semesterbyar, vandrarhem, stugbyar m.m."
21,"55.20","Semesterbyar"
21,"55.201","Vandrarhem m.m."
21,"55.202","Stugbyar m.m."
21,"55.3","Campingplatser m.m."
21,"55.30","Campingplatser m.m."
21,"55.300","Campingplatser m.m."
21,"55.9","Andra logier"
21,"55.90","Andra logier"
21,"55.900","Andra logier"
21,"56","Restauranger, cateringföretag, barer och pubar"
21,"56.1","Restauranger"
21,"56.10","Restauranger"
21,"56.100","Restauranger"
21,"56.2","Cateringföretag och centralkök"
21,"56.21","Cateringföretag för enskilda evenemang"
21,"56.210","Cateringföretag för enskilda evenemang"
21,"56.29","Andra cateringföretag och centralkök"
21,"56.291","Personalmatsalar"
21,"56.292","Centralkök för sjukhus"
21,"56.293","Centralkök för skolor, omsorgs- och andra institutioner"
21,"56.294","Cateringföretag för transportsektorn"
21,"56.299","Övriga cateringföretag"
21,"56.3","Barer och pubar"
21,"56.30","Barer och pubar"
21,"56.300","Barer och pubar"
21,"J","Informations- och kommunikationsföretag"
21,"58","Förlag"
21,"58.1","Bokförlag, tidningsförlag, tidskriftsförlag m.m."
21,"58.11","Bokförlag"
21,"58.110","Bokförlag"
21,"58.12","Utgivare av kataloger och sändlistor"
21,"58.120","Utgivare av kataloger och sändlistor"
21,"58.13","Tidningsförlag"
21,"58.131","Dagstidningsförlag"
21,"58.132","Annonstidningsförlag"
21,"58.14","Tidskriftsförlag "
21,"58.140","Tidskriftsförlag "
21,"58.19","Andra förlag"
21,"58.190","Andra förlag"
21,"58.2 ","Programvaruutgivare"
21,"58.21","Utgivare av dataspel"
21,"58.210","Utgivare av dataspel"
21,"58.29","Utgivare av annan programvara"
21,"58.290","Utgivare av annan programvara"
21,"59","Film-, video och TV-programföretag, ljudinspelningsstudior och fonogramutgivare"
21,"59.1","Film-, video och TV-programföretag"
21,"59.11","Produktionsbolag för film, video och TV-program"
21,"59.110","Produktionsbolag för film, video och TV-program"
21,"59.12","Bolag för efterproduktion av film, video och TV-program"
21,"59.120","Bolag för efterproduktion av film, video och TV-program"
21,"59.13","Distributionsbolag för film-, video- och TV-program"
21,"59.130","Distributionsbolag för film-, video- och TV-program"
21,"59.14","Biografer"
21,"59.140","Biografer"
21,"59.2","Ljudinspelningsstudior och fonogramutgivare"
21,"59.20","Ljudinspelningsstudior och fonogramutgivare"
21,"59.200","Ljudinspelningsstudior och fonogramutgivare"
21,"60","Radio- och TV-bolag"
21,"60.1","Radiobolag"
21,"60.10","Radiobolag"
21,"60.100","Radiobolag"
21,"60.2","TV-bolag"
21,"60.20","TV-bolag"
21,"60.200","TV-bolag"
21,"61","Telekommunikationsbolag"
21,"61.1","Telekommunikationsbolag, trådbundet"
21,"61.10","Telekommunikationsbolag, trådbundet"
21,"61.100","Telekommunikationsbolag, trådbundet"
21,"61.2","Telekommunikationsbolag, trådlöst"
21,"61.20","Telekommunikationsbolag, trådlöst"
21,"61.200","Telekommunikationsbolag, trådlöst"
21,"61.3","Telekommunikationsbolag, satellit"
21,"61.30","Telekommunikationsbolag, satellit"
21,"61.300","Telekommunikationsbolag, satellit"
21,"61.9","Andra telekommunikationsbolag"
21,"61.90","Andra telekommunikationsbolag"
21,"61.900","Andra telekommunikationsbolag"
21,"62","Programvaruproducenter, datakonsulter o.d."
21,"62.0","Programvaruproducenter, datakonsulter o.d."
21,"62.01","Programvaruproducenter"
21,"62.010","Programvaruproducenter"
21,"62.02","Datakonsulter"
21,"62.020","Datakonsulter"
21,"62.03","Företag för datordrifttjänster"
21,"62.030","Företag för datordrifttjänster"
21,"62.09","Andra IT- och datatjänstföretag"
21,"62.090","Andra IT- och datatjänstföretag"
21,"63","Informationstjänstföretag"
21,"63.1","Dataservicebyråer, hostingföretag o.d.; webbportaler"
21,"63.11","Dataservicebyråer, hostingföretag o.d."
21,"63.110","Dataservicebyråer, hostingföretag o.d."
21,"63.12","Webbportaler"
21,"63.120","Webbportaler"
21,"63.9","Andra informationstjänstföretag"
21,"63.91","Nyhets- och bildbyråer"
21,"63.910","Nyhets- och bildbyråer"
21,"63.99","Övriga informationstjänstföretag"
21,"63.990","Övriga informationstjänstföretag"
21,"K","Kreditinstitut och försäkringsbolag"
21,"64","Banker och andra kreditinstitut"
21,"64.1","Banker"
21,"64.11","Riksbanken"
21,"64.110","Riksbanken"
21,"64.19","Affärs- och sparbanker"
21,"64.190","Affärs- och sparbanker"
21,"64.2","Holdingföretag"
21,"64.20","Holdingföretag"
21,"64.201","Holdingföretag i finansiella koncerner"
21,"64.202","Holdingföretag i icke-finansiella koncerner"
21,"64.3","Fonder och liknande finansiella enheter"
21,"64.30","Fonder och liknande finansiella enheter"
21,"64.301","Investeringsfonder"
21,"64.309","Andra fonder och liknande finansiella enheter"
21,"64.9","Andra finansiella bolag"
21,"64.91","Finansiella leasingbolag"
21,"64.910","Finansiella leasingbolag"
21,"64.92","Andra kreditinstitut"
21,"64.920","Andra kreditinstitut"
21,"64.99","Övriga finansiella bolag"
21,"64.991","Investment- och riskkapitalbolag"
21,"64.992","Handel med och förvaltning av värdepapper, för egen räkning "
21,"64.993","Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare"
21,"64.999","Diverse övriga finansiella bolag"
21,"65","Försäkrings- och återförsäkringsbolag, pensionsfonder"
21,"65.1","Försäkringsbolag"
21,"65.11","Livförsäkringsbolag"
21,"65.111","Fondförsäkringsbolag"
21,"65.119","Övriga livförsäkringsbolag"
21,"65.12","Skadeförsäkringsbolag"
21,"65.120","Skadeförsäkringsbolag"
21,"65.2","Återförsäkringsbolag"
21,"65.20","Återförsäkringsbolag"
21,"65.200","Återförsäkringsbolag"
21,"65.3","Pensionsfonder"
21,"65.30","Pensionsfonder"
21,"65.300","Pensionsfonder"
21,"66","Serviceföretag till finans- och försäkringsverksamhet"
21,"66.1","Serviceföretag till finansverksamhet"
21,"66.11","Administrativa serviceföretag till finansiella marknader"
21,"66.110","Administrativa serviceföretag till finansiella marknader"
21,"66.12","Fondkommissionärer m.fl."
21,"66.120","Fondkommissionärer m.fl."
21,"66.19","Andra serviceföretag till finansverksamhet"
21,"66.190","Andra serviceföretag till finansverksamhet"
21,"66.2","Serviceföretag till försäkrings- och pensionsfondsverksamhet"
21,"66.21","Risk- och skadebedömningsbolag"
21,"66.210","Risk- och skadebedömningsbolag"
21,"66.22","Försäkringsmäklare"
21,"66.220","Försäkringsmäklare"
21,"66.29","Andra serviceföretag till försäkrings- och pensionsfondsverksamhet"
21,"66.290","Andra serviceföretag till försäkrings- och pensionsfondsverksamhet"
21,"66.3","Fondförvaltare"
21,"66.30","Fondförvaltare"
21,"66.301","Förvaltare av investeringsfonder"
21,"66.309","Andra fondförvaltare"
21,"L","Fastighetsbolag och fastighetsförvaltare"
21,"68","Fastighetsbolag och fastighetsförvaltare"
21,"68.1","Handel med egna fastigheter"
21,"68.10","Handel med egna fastigheter"
21,"68.100","Handel med egna fastigheter"
21,"68.2","Förvaltare av egna eller arrenderade fastigheter"
21,"68.20 ","Förvaltare av egna eller arrenderade fastigheter"
21,"68.201","Fastighetsbolag, bostäder"
21,"68.202","Fastighetsbolag, industrilokaler"
21,"68.203","Fastighetsbolag, andra lokaler"
21,"68.204","Bostadsrättsföreningar"
21,"68.209","Övriga fastighetsbolag"
21,"68.3","Fastighetsförmedlare och fastighetsförvaltare på uppdrag"
21,"68.31","Fastighetsförmedlare"
21,"68.310","Fastighetsförmedlare "
21,"68.32 ","Fastighetsförvaltare på uppdrag"
21,"68.320","Fastighetsförvaltare på uppdrag"
21,"M","Företag inom juridik, ekonomi, vetenskap och teknik"
21,"69","Juridiska och ekonomiska konsultbyråer"
21,"69.1","Juridiska konsultbyråer"
21,"69.10","Juridiska konsultbyråer"
21,"69.101","Advokatbyråer"
21,"69.102","Juridiska byråer m.m."
21,"69.103","Patentbyråer m.m."
21,"69.2","Ekonomiska konsultbyråer"
21,"69.20 ","Ekonomiska konsultbyråer"
21,"69.201","Redovisnings- och bokföringsbyråer "
21,"69.202","Revisionsbyråer "
21,"69.203","Skatterådgivningsbyråer"
21,"70","Huvudkontor; konsultbyråer inom PR och kommunikation samt företags organisation"
21,"70.1","Huvudkontor"
21,"70.10","Huvudkontor"
21,"70.100","Huvudkontor"
21,"70.2","Konsultbyråer inom PR och kommunikation samt företags organisation"
21,"70.21","Konsultbyråer avseende företags PR och kommunikation"
21,"70.210","Konsultbyråer avseende företags PR och kommunikation"
21,"70.22","Konsultbyråer avseende företags organisation"
21,"70.220","Konsultbyråer avseende företags organisation"
21,"71","Arkitektkontor, tekniska konsultbyråer, tekniska provnings- och analysföretag"
21,"71.1","Arkitektkontor och tekniska konsultbyråer o.d."
21,"71.11","Arkitektkontor "
21,"71.110","Arkitektkontor "
21,"71.12","Tekniska konsultbyråer o.d."
21,"71.121","Tekniska konsultbyråer inom bygg- och anläggningsteknik"
21,"71.122","Tekniska konsultbyråer inom industriteknik"
21,"71.123","Tekniska konsultbyråer inom elteknik"
21,"71.124","Tekniska konsultbyråer inom energi-, miljö- och VVS-teknik"
21,"71.129","Övriga tekniska konsultbyråer"
21,"71.2","Tekniska provnings- och analysföretag"
21,"71.20","Tekniska provnings- och analysföretag"
21,"71.200","Tekniska provnings- och analysföretag"
21,"72","Forsknings- och utvecklingsinstitutioner"
21,"72.1","Naturvetenskapliga och tekniska FoU-institutioner"
21,"72.11","Biotekniska FoU-institutioner"
21,"72.110","Biotekniska FoU-institutioner"
21,"72.19","Andra naturvetenskapliga och tekniska FoU-institutioner"
21,"72.190","Andra naturvetenskapliga och tekniska FoU-institutioner"
21,"72.2","Samhällsvetenskapliga och humanistiska FoU-institutioner"
21,"72.20","Samhällsvetenskapliga och humanistiska FoU-institutioner"
21,"72.200","Samhällsvetenskapliga och humanistiska FoU-institutioner"
21,"73","Reklam- och marknadsföringsbyråer; marknadsundersökningsbyråer o.d."
21,"73.1","Reklam- och marknadsföringsbyråer"
21,"73.11","Reklambyråer o.d."
21,"73.111","Reklambyråer "
21,"73.112","Direktreklamföretag"
21,"73.119","Övriga reklamföretag"
21,"73.12","Mediebyråer o.d."
21,"73.120","Mediebyråer o.d."
21,"73.2","Marknads- och opinionsundersökningsföretag"
21,"73.20","Marknads- och opinionsundersökningsföretag"
21,"73.200","Marknads- och opinionsundersökningsföretag"
21,"74","Andra företag inom juridik, ekonomi, vetenskap och teknik"
21,"74.1","Specialiserade designföretag"
21,"74.10","Specialiserade designföretag"
21,"74.101","Industri- och produktdesignföretag"
21,"74.102","Grafiska designföretag"
21,"74.103","Inredningsarkitektföretag"
21,"74.2","Fotoateljéer och fotolaboratorier"
21,"74.20","Fotoateljéer och fotolaboratorier"
21,"74.201","Porträttfotoateljéer"
21,"74.202","Reklamfotoateljéer"
21,"74.203","Press- och övriga fotografer"
21,"74.204","Fotolaboratorier"
21,"74.3","Översättnings- och tolkningsbyråer"
21,"74.30","Översättnings- och tolkningsbyråer"
21,"74.300 ","Översättnings- och tolkningsbyråer"
21,"74.9","Övriga företag inom juridik, ekonomi, vetenskap och teknik"
21,"74.90","Övriga företag inom juridik, ekonomi, vetenskap och teknik"
21,"74.900","Övriga företag inom juridik, ekonomi, vetenskap och teknik"
21,"75","Veterinärkliniker"
21,"75.0","Veterinärkliniker"
21,"75.00","Veterinärkliniker"
21,"75.000","Veterinärkliniker"
21,"N","Företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster"
21,"77","Uthyrningsfirmor   "
21,"77.1","Motorfordonsuthyrare"
21,"77.11","Personbilsuthyrare"
21,"77.110","Personbilsuthyrare"
21,"77.12","Lastbilsuthyrare"
21,"77.120","Lastbilsuthyrare"
21,"77.2","Uthyrare av hushållsartiklar och varor för personligt bruk"
21,"77.21 ","Uthyrare av fritids- och sportutrustning"
21,"77.210","Uthyrare av fritids- och sportutrustning"
21,"77.22","Uthyrare av videokassetter och dvd-skivor"
21,"77.220","Uthyrare av videokassetter och dvd-skivor"
21,"77.29","Uthyrare av andra hushållsartiklar och varor för personligt bruk"
21,"77.290","Uthyrare av andra hushållsartiklar och varor för personligt bruk"
21,"77.3","Uthyrare av annan utrustning och andra maskiner och materiella tillgångar"
21,"77.31","Uthyrare av jordbruksmaskiner och jordbruksredskap"
21,"77.310","Uthyrare av jordbruksmaskiner och jordbruksredskap"
21,"77.32","Uthyrare av bygg- och anläggningsmaskiner"
21,"77.320","Uthyrare av bygg- och anläggningsmaskiner"
21,"77.33","Uthyrare av kontorsmaskiner och kontorsutrustning (inklusive datorer)"
21,"77.330","Uthyrare av kontorsmaskiner och kontorsutrustning (inklusive datorer)"
21,"77.34","Fartygsuthyrare"
21,"77.340","Fartygsuthyrare"
21,"77.35","Flygplansuthyrare"
21,"77.350","Flygplansuthyrare"
21,"77.39","Uthyrare av övrig utrustning och övriga maskiner och materiella tillgångar"
21,"77.390","Uthyrare av övrig utrustning och övriga maskiner och materiella tillgångar"
21,"77.4","Leasinggivare av immateriell egendom och liknande produkter"
21,"77.40","Leasinggivare av immateriell egendom och liknande produkter"
21,"77.400","Leasinggivare av immateriell egendom och liknande produkter"
21,"78","Arbetsförmedlingar, rekryteringsföretag, personaluthyrningsföretag o.d."
21,"78.1","Arbetsförmedlingar och rekryteringsföretag"
21,"78.10","Arbetsförmedlingar och rekryteringsföretag"
21,"78.100","Arbetsförmedlingar och rekryteringsföretag"
21,"78.2","Personaluthyrningsföretag "
21,"78.20","Personaluthyrningsföretag "
21,"78.200","Personaluthyrningsföretag "
21,"78.3","Företag för övrigt tillhandahållande av personalfunktioner"
21,"78.30","Företag för övrigt tillhandahållande av personalfunktioner"
21,"78.300","Företag för övrigt tillhandahållande av personalfunktioner"
21,"79","Resebyråer och researrangörer; turistbyråer"
21,"79.1","Resebyråer och researrangörer"
21,"79.11","Resebyråer "
21,"79.110","Resebyråer "
21,"79.12","Researrangörer"
21,"79.120","Researrangörer"
21,"79.9","Turistbyråer o.d."
21,"79.90","Turistbyråer o.d."
21,"79.900","Turistbyråer o.d."
21,"80","Företag för bevakning och säkerhetstjänst, detektivbyråer"
21,"80.1","Företag för bevakning och säkerhetstjänst"
21,"80.10","Företag för bevakning och säkerhetstjänst"
21,"80.100","Företag för bevakning och säkerhetstjänst"
21,"80.2","Företag för säkerhetssystemtjänster"
21,"80.20 ","Företag för säkerhetssystemtjänster"
21,"80.200","Företag för säkerhetssystemtjänster"
21,"80.3","Detektivbyråer"
21,"80.30","Detektivbyråer"
21,"80.300","Detektivbyråer"
21,"81","Företag för fastighetsservice samt skötsel och underhåll av grönytor"
21,"81.1","Fastighetsserviceföretag"
21,"81.10","Fastighetsserviceföretag"
21,"81.100","Fastighetsserviceföretag"
21,"81.2","Rengörings- och städföretag o.d."
21,"81.21","Städföretag"
21,"81.210","Städföretag"
21,"81.22","Andra rengöringsföretag för byggnader och industrier"
21,"81.221","Företag för rengöring av byggnader"
21,"81.222","Skorstensfejare"
21,"81.29","Andra rengörings- och städföretag"
21,"81.290","Andra rengörings- och städföretag"
21,"81.3","Företag för skötsel och underhåll av grönytor"
21,"81.30","Företag för skötsel och underhåll av grönytor"
21,"81.300","Företag för skötsel och underhåll av grönytor"
21,"82","Kontors- och andra företagstjänstföretag"
